concept1,concept2,label
Fast Fourier transform,Signal processing,1
Object-oriented programming,Computer science,1
Control flow,Scope (computer science),1
Cache coherence,Graphics,0
Partial differential equation,Numerical analysis,1
Object (computer science),Theoretical computer science,0
Scheduling (computing),Operating system,1
Unix,Genetic algorithm,0
Recurrence relation,Machine learning,0
Graph theory,Mathematics,1
Assembly language,Programming language,1
Reason,Computer animation,0
Internet,Information security,0
Internet Protocol Suite,Computer,1
Pushdown automaton,Automata theory,1
Firewall (computing),Amortized analysis,0
Sentiment analysis,Document classification,1
Higher-order function,Mathematical model,0
Machine learning,Artificial intelligence,1
Computing,Algorithm design,0
Machine learning,Computer,1
Algorithm,Logic,1
Finite element method,Linked list,0
Machine learning,Computational science,1
Programming style,Differential equation,0
Probability theory,Hash table,0
Prolog,Operating system,0
Human-computer interaction,Interactivity,1
Input/output,Differential equation,0
JavaScript,World Wide Web,1
Lock (computer science),Profiling (computer programming),0
User interface,Halting problem,0
Linked list,Geometric modeling,0
Recursion (computer science),Amortized analysis,0
Artificial intelligence,Computational science,1
Approximation,Discrete mathematics,0
Model of computation,Computational complexity theory,1
Syntax,Java (programming language),0
Linear programming,Gradient descent,0
NP-complete,Discrete mathematics,0
Volume rendering,Linked list,0
Introduction to Algorithms,Floating point,0
Interpolation,Numerical analysis,1
Instruction set,Asymptotic analysis,0
Lisp (programming language),Scope (computer science),1
Formal methods,Virtual memory,0
Database management system,Database system,0
Application programming interface,Programming language,1
Computability,Recursively enumerable set,0
Cryptography,Algorithm,1
Graphical model,Probability theory,1
Software design,Gradient descent,0
Computational complexity theory,Polynomial,1
Dynamic memory allocation,Natural language processing,0
Visualization (computer graphics),Computer graphics,1
Analysis of algorithms,Asymptotic analysis,1
Pattern recognition,Information theory,0
Recursion,Regular language,0
Routing,Computer network,1
Recurrence relation,Mathematics,1
Deadlock,Microprocessor,0
Probability,Introduction to Algorithms,0
Message Passing Interface,Synchronization,1
Virtual memory,Memory hierarchy,1
Formal verification,Monte Carlo method,0
Syntax,Parallel algorithm,0
Object (computer science),Unix,0
String searching algorithm,Regular expression,1
CPU cache,Central processing unit,1
Robotics,Kinematics,1
Undecidable problem,Mathematical proof,1
Recommender system,Kernel (computing),0
Divide and conquer algorithm,Theoretical computer science,0
Sentiment analysis,Natural language processing,1
Multi-core processor,Thread (computer science),1
Software development,Lisp (programming language),0
Database,Data (computing),1
Coding theory,Theoretical computer science,1
Memory management,Linear programming,0
Congestion control,Gradient descent,0
Unix,Reinforcement learning,0
ML (programming language),Interactivity,0
String searching algorithm,Computer science,1
Computer graphics,Computer programming,1
Software design,Arithmetic,0
User interface,Computer simulation,0
OSI model,Introduction to Algorithms,0
Logic,Recursion (computer science),0
Automata theory,Markov chain,0
Database design,Data structure,1
Cryptanalysis,Modular arithmetic,1
Natural language,Finite element method,0
Martingale (probability theory),Expected value,1
Artificial intelligence,Internet,0
Statistical inference,Random variable,1
Turing machine,Coding theory,0
Exponential family,Random variable,1
Database management system,Arithmetic,0
Motion planning,Robotics,1
Embedded system,Mathematical model,0
Support vector machine,Algorithm,1
Information security,Probability,0
Time complexity,Computer science,1
Software testing,Control flow,1
Halting problem,Computability,1
Cluster analysis,Computer science,1
Mobile device,Computer,1
Software engineering,Data structure,1
Virtual reality,Interactivity,1
Finite element method,Scheduling (computing),0
Tensor,Lazy evaluation,0
Rendering (computer graphics),Mathematics,1
Deadlock,Very long instruction word,0
PSPACE,Fourier analysis,0
Machine translation,Natural language,1
Cloud computing,Authentication,0
Scientific visualization,Prediction,0
Computer graphics,Logic,0
Pattern recognition,Computational problem,0
Java (programming language),Data structure,1
Database design,Relational model,1
Machine learning,Computer programming,1
Software testing,Software development,1
Symmetric multiprocessing,Concurrency (computer science),1
Parsing,Algorithm design,1
Calculus of variations,Integral,1
Randomized algorithm,Algorithm,1
Compiler,Internet,0
Software testing,Programming language,1
Computational learning theory,Probability,1
Query optimization,Database management system,1
Synchronization,Run time (program lifecycle phase),0
Graphical user interface,Computer,1
Functional programming,Recursion (computer science),1
Run time (program lifecycle phase),Computer science,1
Public-key cryptography,Programming language,0
Functional programming,Computer science,1
Web browser,Information assurance,0
Mathematical proof,Congestion control,0
Geometry,Matrix (mathematics),1
Knowledge representation and reasoning,Computer science,1
Probability,Mobile device,0
Boundary value problem,Machine learning,0
System programming,Martingale (probability theory),0
Central processing unit,Computer architecture,1
Random walk,Type system,0
Parallel computing,Central processing unit,1
Randomization,Shared memory,0
Robot,Prolog,0
Graph theory,Computational science,1
Computational complexity theory,Complexity,1
Theory of computation,Computer science,1
Robot,Haskell (programming language),0
Quantum computer,Theoretical computer science,1
Recursively enumerable set,Recursion,1
User interface design,Tensor,0
Iterative method,Mutual exclusion,0
Atomicity (database systems),Monte Carlo method,0
Microprocessor,Computational learning theory,0
Entropy,Probability,1
Computational complexity theory,Discrete mathematics,1
Processor register,Stack (data structure),1
Index (database),Logic,0
Machine translation,Big data,0
Debugging,MapReduce,0
Programming language,Reason,0
Arithmetic logic unit,Combinational logic,1
Monte Carlo method,Complexity,0
Pushdown automata,Robotics,0
Operating system,Computer graphics,0
Machine learning,Algorithm,1
Dynamic memory allocation,Ray tracing (graphics),0
Logic,Foundations of mathematics,1
Computer science,Computer,1
Lisp (programming language),Interface (computing),0
Random graph,Image analysis,0
List of undecidable problems,Computability,1
Computational geometry,Computer science,1
Transaction processing,Database management system,1
Cache coherence,Shared memory,1
Programming language,Inheritance (object-oriented programming),0
Database design,Database system,1
Machine translation,Artificial intelligence,1
Coding theory,3D modeling,0
Graph (mathematics),Virtual reality,0
Relational model,Object (computer science),1
Analysis of algorithms,Computer programming,1
Computer graphics,Abstraction (computer science),0
Decision theory,Inference,0
Security,Hidden Markov model,0
Firewall (computing),Graph theory,0
Algorithm,Automated theorem proving,0
Computer animation,Rendering (computer graphics),1
Context-free grammar,Regular expression,0
Wireless sensor network,Communication,1
Relational database management system,Relational algebra,1
Algorithm design,Uncertainty,0
Linear programming,Mathematical optimization,1
Polymorphism (computer science),Abstract data type,1
Haskell (programming language),Communications protocol,0
