concept1,concept2,label
Software development,Data structure,1
Cryptography,Information security,1
Divide and conquer algorithm,Sparse matrix,0
Design pattern (computer science),Computer vision,0
Operating system,Computer programming,1
Interface (computing),Distributed computing,0
Recommender system,Machine learning,1
Logic programming,Scheduling (computing),0
Bayesian probability,Conditional probability,1
Iterative method,Polymorphism (computer science),0
Amortized analysis,Computer science,1
Graphics,Data analysis,0
Entropy,GPU,0
Ordinary differential equation,Numerical analysis,1
Formal methods,Analysis of algorithms,1
Programming style,SQL,0
Scripting language,Graph coloring,0
Software development,Software engineering,1
Arithmetic logic unit,Linear programming,0
Computer animation,Computational geometry,1
Computational geometry,Computer,1
Database management system,Database,1
Randomness,Cache coherence,0
Spanning tree,Mathematics,1
Server (computing),Computer,1
Complexity,Algorithm,1
Iterative method,Eigenvalues and eigenvectors,0
Stochastic process,Probability,1
Natural language processing,Semantics,1
Turing machine,Information security,0
Cryptography,Mathematics,1
Sufficient statistic,Statistical inference,1
Interactivity,Numerical analysis,0
World Wide Web,Programming language,0
Internet,Routing,1
Recursion (computer science),Algorithm,1
Random variable,Question answering,0
Polynomial,Boundary value problem,0
Internet Protocol Suite,Computer network,1
Input/output,Computer,1
Numerical analysis,Polynomial,1
Computer security,Mathematics,1
Scientific visualization,Instruction set,0
Game theory,Mathematical model,1
PSPACE,Turing machine,1
Document classification,Iterative method,0
Game theory,Routing,0
Formal language,SQL,0
Document classification,OSI model,0
Software development,Software design,1
Genetic algorithm,Message passing,0
Software design,Debugging,0
Malware,Computational complexity theory,0
Communications protocol,Algorithm,1
Information theory,Random variable,1
Differential equation,Shared memory,0
Assembly language,Motion planning,0
Functional programming,Generic programming,1
Machine translation,Introduction to Algorithms,0
System programming,Computer programming,1
Computational geometry,Algorithm design,1
Design of experiments,Semidefinite programming,0
Information assurance,Information security,1
Halting problem,Turing machine,1
Bayesian,Approximation,0
Computer security,Computer,1
CPU cache,Computer,1
Randomized algorithm,Randomization,1
User interface,Graph theory,0
Large deviations theory,Probability theory,1
Asymptotic analysis,Computer architecture,0
Program analysis,Scientific modelling,0
ML (programming language),Instruction set,0
Information theory,Knowledge representation and reasoning,0
Halting problem,Signal processing,0
PSPACE,Computational complexity theory,1
Firewall (computing),Information security,1
Dynamic programming,Recursion,1
Queue (data structure),Array data structure,1
SQL,Statistics,0
Theoretical computer science,Haskell (programming language),0
Firewall (computing),Image processing,0
Relational database,Computer science,1
Computer network,Computational problem,0
Computational chemistry,Computer programming,1
Object-oriented programming,Object (computer science),1
Machine translation,Algorithm,1
Public-key cryptography,Query optimization,0
Lazy evaluation,Document classification,0
Exponential family,Graph coloring,0
Cloud computing,Congestion control,0
Robotics,Computer science,1
Graphics processing unit,Computer graphics,1
Index (database),Human-computer interaction,0
Inequality (mathematics),Quantum mechanics,0
Superscalar,Programming style,0
Virtual reality,Logic programming,0
Mutual exclusion,Syntax,0
Approximation algorithm,Mathematical optimization,1
Recursively enumerable set,Markov chain,0
Reinforcement learning,Number theory,0
Haskell (programming language),Scope (computer science),1
Exponential family,Symmetric multiprocessing,0
Programming paradigm,Software engineering,0
Asymptotic analysis,Logic programming,0
Complexity class,Computational complexity theory,1
Monad (functional programming),Functional programming,1
Computer science,Mathematics,1
Inequality (mathematics),Parsing,0
Computational geometry,Computer,1
Dynamic memory allocation,Operating system,1
Computer architecture,Random graph,0
