concept1,concept2,label
Concurrency (computer science),Integral,0
Shading,Formal verification,0
Traffic analysis,Cryptography,1
Object-oriented programming,Variable (computer science),1
Unix,Concurrency (computer science),0
Graphics processing unit,Computer graphics,1
Hidden Markov model,Markov chain,1
Quantum mechanics,Probability,1
Automated planning and scheduling,Artificial intelligence,1
Computer,Arithmetic,1
Exponential family,Random variable,1
Web browser,Computer,1
Graphical model,Finite difference,0
Randomized algorithm,Complexity class,0
Abstract data type,Quantum computer,0
Genetic algorithm,Message passing,0
Parallel algorithm,Machine translation,0
Computability,Computer science,1
Combinatorics,Algebra,1
Internet Protocol Suite,Computer network,1
Very long instruction word,Computability,0
Functional programming,Database management system,0
Artificial intelligence,Computational complexity theory,1
Discrete mathematics,Mutual exclusion,0
Robotics,Kinematics,1
Reason,Polynomial,0
Time complexity,Computational complexity theory,1
Memory management,Operating system,1
Bayesian probability,Data,1
Machine translation,Interpolation,0
Parsing,Regular language,1
Data analysis,System programming,0
Scheduling (computing),Computing,1
Eigenvalues and eigenvectors,Matrix (mathematics),1
Sufficient statistic,Random variable,1
Complexity class,Computability,0
Monad (functional programming),Functional programming,1
Functional programming,Document classification,0
Computer simulation,Data mining,0
Graph theory,Lisp (programming language),0
Wavelet,Server (computing),0
Memory management,Web service,0
Message Passing Interface,Synchronization,1
Atomicity (database systems),GPU,0
Decision theory,Statistical hypothesis testing,1
Distributed algorithms,Database design,0
Distributed computing,Computer programming,1
Interactivity,Computer science,1
Cryptography,Algorithm,1
Dynamic programming,Data analysis,0
Run time (program lifecycle phase),Computer science,1
Dynamic programming,Recursion,1
OSI model,Run time (program lifecycle phase),0
Computer animation,Database normalization,0
Neural network,Context-free language,0
Algorithm,Computing,1
Analysis of algorithms,Interactivity,0
Geometric modeling,Object-oriented programming,0
Random walk,Markov chain,1
Approximation,Concurrent computing,0
ML (programming language),Instruction set,0
Computer programming,Computing,1
Big data,Computational geometry,0
Embedded system,Query optimization,0
Algorithm,Iterative method,1
Computational complexity theory,Discrete mathematics,1
B-tree,Data structure,1
Relational database,Computer science,1
Fast Fourier transform,User interface design,0
Undecidable problem,Computing,0
Parallel computing,Computer programming,1
Arithmetic logic unit,Superscalar,0
Artificial intelligence,Computational science,1
Concurrent computing,HTML,0
Design pattern (computer science),Recommender system,0
Programming paradigm,Computer science,1
Natural language processing,System programming,0
Turing machine,Computer science,1
Bioinformatics,Computer programming,1
Linear algebra,Mathematics,1
Concurrency control,Algorithm design,1
ML (programming language),Unix,0
Calculus,Game theory,0
Finite-state machine,Logic,1
Recurrence relation,Programming paradigm,0
Graphical model,Probability theory,1
Theory of computation,Computer science,1
Interaction design,User interface,1
Scope (computer science),Programming language,1
First-order logic,Recursion,1
Relational model,Data type,1
Parsing,Data structure,1
Multiplication,Peer-to-peer,0
Model checking,Algorithm,1
Graphical model,Database management system,0
Hash table,Data structure,1
Software engineering,Object-oriented programming,1
Software development,Computer science,1
Object (computer science),Concurrent computing,0
Shading,Analysis of algorithms,0
Model of computation,Computational complexity theory,1
Theory of computation,Computer science,1
Visualization (computer graphics),Geometry,1
Calculus,Arithmetic,1
Mobile device,Security,0
Computer science,Logic,1
Relational model,Data type,1
Fourier analysis,Polynomial,1
Model of computation,Monte Carlo method,0
Model of computation,Cache coherence,0
Randomized algorithm,Conditional probability,1
Context-free grammar,Nonlinear system,0
Computing,Recursion,0
Document classification,Iterative method,0
Uncertainty,Random variable,0
Model checking,Perl,0
Game theory,Mathematical optimization,1
Conditional probability,Uncertainty,0
Algorithm design,Lock (computer science),0
Differential equation,Shared memory,0
Social network,Syntax,0
Scalability,Software design,1
Computer vision,Geometry,1
Procedural programming,Computer science,1
Martingale (probability theory),Expected value,1
Programming paradigm,Computational science,1
Network security,Hidden Markov model,0
Variable (computer science),Interactivity,0
Automated theorem proving,Predicate logic,1
Personal computer,Synchronization,0
PageRank,Expected value,1
Markov chain,Cryptanalysis,0
Exponential family,Robotics,0
Finite difference,Polynomial,1
String (computer science),Data (computing),1
Compiler,Computer architecture,1
Machine learning,Run time (program lifecycle phase),0
Parsing,Markov chain,0
Halting problem,Signal processing,0
